19408000000,0.00151,0.00801,-0.00080,0.99999,0.00049,0.00366,-0.00036,-0.02958,-0.02281,-0.02724,
19509000000,-0.01679,-0.00727,-0.01787,0.99999,0.00050,0.00363,-0.00038,-0.03200,-0.02865,-0.03021,
19609000000,-0.03311,-0.02261,-0.03337,0.99999,0.00050,0.00361,-0.00040,-0.03422,-0.03355,-0.03268,
19708000000,-0.04693,-0.03657,-0.04660,0.99999,0.00051,0.00360,-0.00042,-0.03612,-0.03750,-0.03465,
19808000000,-0.05777,-0.04803,-0.05700,0.99999,0.00051,0.00359,-0.00043,-0.03761,-0.04047,-0.03612,
19908000000,-0.06516,-0.05607,-0.06410,0.99999,0.00051,0.00358,-0.00043,-0.03864,-0.04244,-0.03709,
20008000000,-0.06905,-0.06037,-0.06784,0.99999,0.00052,0.00358,-0.00044,-0.03918,-0.04346,-0.03759,
20109000000,-0.11088,-0.10866,-0.10768,0.99999,0.00053,0.00354,-0.00048,-0.04497,-0.05371,-0.04257,
20209000000,-0.15365,-0.16081,-0.14769,0.99999,0.00054,0.00350,-0.00051,-0.05082,-0.06309,-0.04704,
20308000000,-0.19621,-0.21420,-0.18657,0.99999,0.00054,0.00347,-0.00054,-0.05653,-0.07156,-0.05101,
20408000000,-0.23732,-0.26648,-0.22318,0.99999,0.00055,0.00344,-0.00057,-0.06193,-0.07909,-0.05449,
20509000000,-0.27557,-0.31539,-0.25643,0.99999,0.00056,0.00342,-0.00059,-0.06685,-0.08560,-0.05746,
20608000000,-0.30958,-0.35894,-0.28537,0.99999,0.00056,0.00340,-0.00061,-0.07113,-0.09107,-0.05993,
20708000000,-0.33831,-0.39569,-0.30937,0.99999,0.00057,0.00338,-0.00062,-0.07469,-0.09547,-0.06191,
20808000000,-0.36067,-0.42425,-0.32779,0.99999,0.00057,0.00337,-0.00064,-0.07743,-0.09878,-0.06338,
20909000000,-0.37587,-0.44362,-0.34018,0.99999,0.00057,0.00337,-0.00064,-0.07927,-0.10098,-0.06435,
21008000000,-0.38376,-0.45368,-0.34657,0.99999,0.00057,0.00336,-0.00065,-0.08022,-0.10210,-0.06485,
21108000000,-0.46846,-0.56082,-0.41351,0.99999,0.00059,0.00332,-0.00068,-0.09019,-0.11348,-0.06983,
21208000000,-0.55338,-0.66692,-0.47794,0.99999,0.00060,0.00329,-0.00072,-0.09981,-0.12389,-0.07431,
